approved	synonyms
ADH5	FDH,ADH-3,ADHX
ADH6	ADH-5
ADH7	ADH-4
ADHFE1	ADHFe1,FLJ32430
ADI1	SIPL,MTCBP-1,ARD,APL1,FLJ10913,HMFT1638,mtnD
ADIG	MGC39724,SMAF1,RP5-1100H13.2
ADIPOQ	ACDC,ACRP30,AdipoQ,apM1,GBP28,adiponectin
ADIPOR1	PAQR1,ACDCR1
ADIPOR2	PAQR2,ACDCR2
ADIRF	C10orf116,APM2,AFRO
ADK	AK
ADM	AM
ADM2	AM2,FLJ21135
ADM5	C19orf76,AM5
ADNP	KIAA0784,ADNP1
ADNP2	ZNF508,KIAA0863
ADO	C10orf22,FLJ14547
ADORA1	RDC7
ADORA2A	ADORA2,RDC8
ADORA2B	NA
ADORA3	AD026
ADPGK	DKFZp434B195,ADP-GK
ADPRH	ARH1
ADPRHL1	ARH2
ADPRHL2	ARH3,FLJ20446
ADPRM	C17orf48,MDS006
ADRA1A	ADRA1C,ADRA1L1
ADRA1B	NA
ADRA1D	ADRA1R,ADRA1A,ADRA1
ADRA2A	ADRA2,ADRA2R,ADRAR
ADRA2B	ADRA2L1,ADRA2RL1,ADRARL1
ADRA2C	ADRA2L2,ADRA2RL2,ADRARL2
ADRB1	ADRB1R
ADRB2	ADRB2R,ADRBR,BAR,B2AR
ADRB3	NA
ADRBK1	GRK2,BARK1
ADRBK2	GRK3,BARK2
ADRM1	GP110,Rpn13,ARM1
ADSL	NA
ADSS	NA
ADSSL1	FLJ38602
ADTRP	C6orf105,dJ413H6.1,AIG1L
AEBP1	ACLP
AEBP2	MGC17922
AEN	ISG20L1,FLJ12484,FLJ12562
AES	GRG5,TLE5
AFAP1	AFAP-110,AFAP
AFAP1L1	FLJ36748
AFAP1L2	KIAA1914,FLJ14564,Em:AC005383.4,XB130
AFF1	PBM1,MLLT2,AF-4,AF4
AFF2	FMR2,FRAXE
AFF3	LAF4,MLLT2-like
AFF4	AF5Q31,MCEF
AFG3L2	SCA28,SPAX5
AFM	ALB2,ALBA
AFMID	DKFZp686F03259,KF
AFP	HPAFP,FETA
AFTPH	MGC33965,FLJ20080,FLJ23793,Nbla10388
AGA	ASRG
AGAP1	CENTG2,KIAA1099,GGAP1
AGAP2	CENTG1
AGAP3	CENTG3
AGAP4	CTGLF1,AGAP8,CTGLF5,Em:AC012044.1,MRIP2
AGAP5	CTGLF2,Em:AC073389.1
AGAP6	CTGLF3,bA324H6.1
AGAP9	CTGLF6,bA301J7.2,FLJ00312
AGBL1	FLJ32310,CCP4
AGBL2	FLJ23598,CCP2
AGBL3	MGC32955,CCP3
AGBL4	FLJ14442,CCP6
AGBL5	FLJ21839,CCP5
AGER	RAGE
AGFG1	HRB,RIP,RAB
AGFG2	HRBL,RABR
AGGF1	VG5Q,HSU84971,FLJ10283,GPATC7,GPATCH7
AGK	MULK,FLJ10842
AGL	NA
AGMAT	FLJ23384
AGMO	TMEM195,FLJ16237
AGO1	EIF2C1,hAGO1
AGO2	EIF2C2,hAGO2,Q10
AGO3	EIF2C3,hAGO3,FLJ12765
AGO4	EIF2C4,hAGO4,KIAA1567,FLJ20033
AGPAT1	LPAAT-alpha
AGPAT2	BSCL
AGPAT3	LPAAT-gamma
AGPAT4	LPAAT-delta,dJ473J16.2
AGPAT5	FLJ11210,LPAAT-e,LPAAT-epsilon
AGPAT6	DKFZp586M1819,LPAAT-zeta
AGPAT9	MGC11324,LPAAT-theta,MAG1,HMFN0839
AGPS	ADHAPS,ADAS,ALDHPSY,ADPS,ADAP-S
AGR2	XAG-2,HAG-2,AG2,PDIA17
AGR3	HAG3,hAG-3,BCMP11,PDIA18
AGRN	AGRIN
AGRP	Agrt,ART,ASIP2
AGT	SERPINA8
AGTPBP1	KIAA1035,Nna1,CCP1
AGTR1	AGTR1B,AT1,AT2R1,AGTR1A,AT2R1A,HAT1R,AG2S,AT2R1B,AT1B
AGTR2	AT2,MRX88
AGTRAP	ATRAP
AGXT	SPAT,AGXT1,PH1,AGT,SPT,AGT1
AGXT2	AGT2
AHCTF1	ELYS
AHCY	SAHH
AHCYL1	XPVKONA,IRBIT,PPP1R78
AHCYL2	KIAA0828
AHDC1	DJ159A19.3,RP1-159A19.1
AHI1	FLJ20069,ORF1,JBTS3
AHNAK	MGC5395
AHNAK2	C14orf78
AHR	bHLHe76
AHRR	AHH,AHHR,KIAA1234,bHLHe77
AHSA1	C14orf3,p38
AHSA2	DKFZp564C236,Hch1
AHSG	FETUA,A2HS,HSGA
AHSP	ERAF,EDRF
AICDA	HIGM2,CDA2,ARP2,AID
AIDA	C1orf80,FLJ12806
AIF1	IRT-1,AIF-1,Em:AF129756.17,IBA1
AIF1L	C9orf58,IBA2,FLJ12783
AIFM1	PDCD8,NAMSD,AIF,CMTX4
AIFM2	AMID,FLJ14497,PRG3
AIFM3	AIFL,FLJ30473
AIG1	dJ95L4.1,AIG-1,FLJ10485
AIM1	ST4,CRYBG1
AIM1L	CRYBG2,FLJ38020
